transaction no.,tel.no,gender,marital status,Age (yrs),time of call,length of call (sec)
9,077-11180,F,married,22,11:28a.m,83
30,077-08743,M,married,36,11:18p.m,38
60,077-11180,F,married,22,8:28a.m,80
69,077-67293,M,married,26,2:49p.m,44
81,077-45678,M,single,38,10:16a.m,79
146,077-08743,M,married,36,9:56p.m,23
150,077-34568,F,married,44,3:45p.m,50
153,077-87346,F,single,29,2:19a.m,31
166,077-34567,M,married,42,11:34a.m,85
203,077-22223,F,married,51,9:54a.m,89
221,077-71211,M,single,19,12:01a.m,40
227,077-34568,F,married,44,3:39p.m,55
235,077-08743,M,married,36,2:09a.m,27
263,077-27865,F,married,47,11.02a.m,85
264,077-79864,M,married,26,2:05a.m,38
288,077-67293,M,married,26,3:51p.m,51
334,077-11180,F,married,22,11:54a.m,110
342,077-67293,M,married,26,4:19p.m,53
357,077-22223,F,married,51,9:05a.m,4
374,077-34568,F,married,44,3:43p.m,40
376,077-23333,M,single,22,4:19p.m,47
388,077-09876,F,married,33,2:17p.m,40
442,077-23333,M,single,22,1:53p.m,37
452,077-87346,F,single,29,3:09a.m,37
456,077-71211,M,single,19,11:27p.m,36
460,077-09876,F,married,33,1:04p.m,49
464,077-45678,M,single,38,8:34a.m,65
489,077-45678,M,single,38,9:37a.m,62
500,077-45454,F,single,34,3:08a.m,45
514,077-87346,F,single,29,1:47a.m,17
532,077-24111,M,married,41,2:13p.m,181
570,077-45454,F,single,34,10:16p.m,24
594,077-67293,M,married,26,4:24p.m,39
615,077-22223,F,married,51,8:23a.m,79
623,077-34567,M,married,42,9:09a.m,92
656,077-27865,F,married,47,10.14a.m,73
666,077-23333,M,single,22,2:19p.m,42
668,077-24111,M,married,41,4:44p.m,52
673,077-45454,F,single,34,4:51a.m,20
674,077-34568,F,married,44,4:49p.m,240
686,077-09876,F,married,33,4:23p.m,50
688,077-39871,F,married,61,10:47a.m,75
692,077-79864,M,married,26,11:19p.m,24
700,077-39871,F,married,61,11:15a.m,100
804,077-67293,M,married,26,2:37p.m,56
839,077-23333,M,single,22,4:22p.m,51
849,077-45678,M,single,38,11:07a.m,80
855,077-33126,M,single,36,3:39p.m,56
855,077-39871,F,married,61,9:31a.m,79
866,077-79864,M,married,26,12:32a.m,35
895,077-87346,F,single,29,4:16a.m,19
902,077-27865,F,married,47,8.42a.m,7
913,077-09876,F,married,33,2:56p.m,45
936,077-79864,M,married,26,4:05a.m,129
948,077-23333,M,single,22,3:48p.m,54
963,077-34567,M,married,42,10:14a.m,107
981,077-22223,F,married,51,11:16a.m,97
994,077-67293,M,married,26,5:03p.m,45
998,077-27865,F,married,47,8:30a.m,92
